[  2%] Built target freertos_printf
[ 11%] Built target bsp
[ 42%] Built target pmsis_implem
[ 47%] Built target ri5cy-gap9
[ 52%] Built target freertos_libs
[ 55%] Built target freertos_pmsis_backend
[ 69%] Built target pmsis_rtos
[ 79%] Built target freertos_gap9
[ 82%] Built target dt
[ 94%] Built target freertos
[ 95%] Building C object CMakeFiles/main_vq.dir/main_vq.c.obj
[ 97%] Linking C executable main_vq
[100%] Built target main_vq
[100%] Built target image
[100%] Built target flash


	 *** PMSIS HelloWorld ***

Entering main controller
Main script of the vanilla application
Sample 0:	 The lowest cdist= 12.534463	 for codeword 30
Sample 82:	 The lowest cdist= 11.770755	 for codeword 13
Sample 83:	 The lowest cdist= 11.419389	 for codeword 108
Sample 84:	 The lowest cdist= 11.608943	 for codeword 71
Sample 85:	 The lowest cdist= 12.088850	 for codeword 40
Sample 86:	 The lowest cdist= 11.303727	 for codeword 53
Sample 87:	 The lowest cdist= 11.505466	 for codeword 17
Sample 88:	 The lowest cdist= 11.557559	 for codeword 21
Sample 89:	 The lowest cdist= 12.145214	 for codeword 30
Sample 90:	 The lowest cdist= 11.860216	 for codeword 104
Sample 91:	 The lowest cdist= 11.911098	 for codeword 20
Sample 92:	 The lowest cdist= 10.988622	 for codeword 74
Sample 93:	 The lowest cdist= 11.642709	 for codeword 22
Sample 94:	 The lowest cdist= 13.035616	 for codeword 64
Sample 95:	 The lowest cdist= 12.489362	 for codeword 86
Sample 96:	 The lowest cdist= 11.556314	 for codeword 115
Sample 97:	 The lowest cdist= 12.801210	 for codeword 59
Sample 98:	 The lowest cdist= 10.786445	 for codeword 27
Sample 99:	 The lowest cdist= 11.518725	 for codeword 93
Bye !
[100%] Built target run
